parallelism,ssd_delay,tps
1,0,16177.78
1,5,8517.06
1,10,6506.74
1,20,4226.83
1,50,2135.02
2,0,19619.79
2,5,13885.77
2,10,11876.64
2,20,8653.04
2,50,5110.18
3,0,18274.7
3,5,15574.07
3,10,13544.39
3,20,10780.83
3,50,6783.24
4,0,19031.6
4,5,16393.54
4,10,14942.74
4,20,12214.68
4,50,8019.34
5,0,19378.16
5,5,16797.19
5,10,14332.85
5,20,12918.97
5,50,9091.79
6,0,20040.91
6,5,15992.48
6,10,15064.28
6,20,14039.46
6,50,10035.87
7,0,18551.09
7,5,17012.24
7,10,15535.89
7,20,12335.49
7,50,10192.15
8,0,18856.12
8,5,15258.14
8,10,16127.06
8,20,13400.87
8,50,9960.34
